STD_ID,STD_NAME,SEX,PERCENTAGE,CLASS,SEC,STREAM,DOB
1001,"SUREKHA JOSHI",FEMALE,82,12,A,SCIENCE,1998-03-08
1002,"MAAHI AGARWAL",FEMALE,56,11,C,COMMERCE,2008-11-23
1003,"SANAM VERMA",MALE,59,11,C,COMMERCE,2006-06-29
1004,"RONIT KUMAR",MALE,63,11,C,SCIENCE,1997-05-11
1005,"DIPESH PULKIT",MALE,78,11,B,COMMERCE,2009-09-14
1006,"JAHANVI PURI",FEMALE,60,11,B,COMMERCE,2008-11-07
1007,"SANAM KUMAR",MALE,23,12,F,COMMERCE,1998-03-08
1008,"SAHIL SARAS",MALE,56,11,C,COMMERCE,2008-11-07
1009,"AKSHARA AGARWAL",FEMALE,72,12,B,COMMERCE,1996-01-10
1010,"STUTI MISHRA",FEMALE,39,11,F,SCIENCE,2008-11-23
1011,"HARSH AGARWAL",MALE,42,11,C,SCIENCE,1998-03-08
1012,"NIKUNJ AGARWAL",MALE,49,12,C,COMMERCE,2008-11-23
1013,"AKRITI SAXSENA",FEMALE,89,12,A,SCIENCE,1998-03-08
1014,"TANI RASTOGI",FEMALE,82,12,A,SCIENCE,2008-11-23
